Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total_Passing,Att_Total_Passing,Cmp%_Total,TotDist,PrgDist,Cmp_Short_Passing,Att_Short_Passing,Cmp%_Short,Cmp_Medium_Passing,Att_Medium_Passing,Cmp%_Medium,Cmp_Long_Passing,Att_Long_Passing,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tkl_Tackles,Tkl,TklW_Defense,Def 3rd,Mid 3rd,Att 3rd,Tkl_Challenges,Att_Defense,Tkl%,Lost_Defense,Blocks_Defense,Sh,Pass,Int_Defense,Tkl+Int,Clr,Att_PassingTypes,Live,Dead,FK,TB,Sw,Crs_PassingTypes,TI,CK,In,Out,Str,Cmp_PassingTypes,Off_PassingTypes,Blocks_PassingTypes,CrdY,CrdR,2CrdY,Fls,Fld,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon,PKcon,OG,Recov,Won,Lost_Misc,Won%,League
Cengiz Ünder,tr TUR,FW,Roma,20,1997,13.9,300,450,66.7,4651,1116,166,207,80.2,82,127,64.6,32,63,50.8,2,2.0,2.2,0.0,23,9,26,9,33,10,16.7,4,6,0,3,18,15,8,1,7,9,19,10,0,Matches,450,414,32,5,1,5,59,4,23,15,0,0,300,4,21,0,0,0,2,20,9,59,9,6,0,0,0,57,5,14,26.3,Italy
Cesar Falletti,uy URU,"MF,FW",Bologna,24,1992,3.6,136,177,76.8,2238,420,69,84,82.1,59,64,92.2,8,18,44.4,0,0.1,0.4,-0.1,3,15,6,1,19,11,50.0,4,6,1,4,8,4,10,0,10,0,11,5,0,Matches,177,163,11,2,0,4,11,5,4,1,2,0,136,3,8,1,0,0,5,10,0,11,0,7,0,0,0,19,1,3,25.0,Italy
Charalampos Lykogiannis,gr GRE,DF,Cagliari,23,1993,7.6,170,296,57.4,3138,1564,67,98,68.4,81,138,58.7,19,45,42.2,1,0.8,0.6,+0.2,3,12,6,3,14,16,61.1,9,5,2,11,18,7,12,3,9,15,31,28,0,Matches,296,203,93,6,0,2,28,82,5,2,2,0,170,0,16,2,0,0,13,13,0,28,15,12,0,0,0,28,16,8,66.7,Italy
Cheick Diabaté,ml MLI,FW,Benevento,29,1988,7.4,85,116,73.3,1215,133,52,64,81.3,26,41,63.4,4,5,80.0,0,0.1,0.1,-0.1,2,3,1,0,8,1,33.3,0,1,0,1,3,2,2,0,2,0,1,6,0,Matches,116,104,11,0,0,0,0,0,0,0,0,0,85,1,0,2,1,1,15,9,6,0,0,1,0,0,0,8,24,42,36.4,Italy
Cheick Keita,ml MLI,DF,Bologna,21,1996,1.4,29,33,87.9,353,86,23,25,92.0,6,7,85.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,2,33.3,1,1,0,1,3,2,5,0,5,2,4,1,0,Matches,33,26,7,0,0,0,0,7,0,0,0,0,29,0,1,0,0,0,6,2,0,0,2,2,0,0,0,9,2,3,40.0,Italy
Christian Maggio,it ITA,DF,Napoli,35,1982,7.1,394,471,83.7,5733,1608,234,262,89.3,130,153,85.0,22,33,66.7,0,0.2,0.2,-0.2,3,18,5,3,26,17,36.8,9,6,2,7,19,12,15,4,11,13,30,21,0,Matches,471,362,109,13,0,1,16,96,0,0,0,0,394,0,10,0,0,0,4,15,0,16,13,10,1,0,0,38,20,14,58.8,Italy
Christian Puggioni,it ITA,GK,Benevento,36,1981,13.1,358,480,74.6,10523,7682,48,48,100.0,167,171,97.7,143,260,55.0,0,0.0,0.0,0.0,0,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,5,1,Matches,480,316,163,43,0,3,0,0,0,0,0,0,358,1,0,0,1,0,1,1,0,0,0,0,0,0,0,12,5,0,100.0,Italy
Christian Puggioni,it ITA,GK,Sampdoria,36,1981,9.0,227,314,72.3,6611,5325,40,40,100.0,98,101,97.0,89,171,52.0,0,0.0,0.0,0.0,0,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,6,1,Matches,314,201,111,33,0,3,0,0,0,0,0,0,227,2,0,0,0,0,1,1,0,0,0,0,0,1,0,15,3,0,100.0,Italy
Christian Rutjens,,,Benevento,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,Italy
Ciro Immobile,it ITA,FW,Lazio,27,1990,29.8,620,798,77.7,8219,1201,369,432,85.4,161,207,77.8,33,45,73.3,6,6.6,3.9,-0.6,38,28,16,2,47,4,0.0,0,3,1,0,17,17,14,1,13,0,4,9,0,Matches,798,755,41,2,0,14,17,10,0,0,0,0,620,2,34,3,1,0,21,36,43,17,0,2,3,0,0,67,15,23,39.5,Italy
Claud Adjapong,it ITA,"DF,FW",Sassuolo,19,1998,13.6,363,509,71.3,5921,2319,167,197,84.8,166,227,73.1,21,53,39.6,0,1.1,0.9,-1.1,11,28,5,2,42,35,84.6,24,5,6,11,13,2,16,3,13,23,58,37,0,Matches,509,442,65,1,3,2,27,63,1,0,0,0,363,2,17,5,1,0,24,19,2,27,23,26,0,0,0,80,15,15,50.0,Italy
Claudio Marchisio,it ITA,MF,Juventus,31,1986,9.1,602,681,88.4,11447,2552,227,246,92.3,260,281,92.5,94,117,80.3,1,0.7,0.6,+0.3,6,52,7,1,67,17,28.6,9,5,3,6,21,15,7,2,5,4,21,7,0,Matches,681,660,16,13,5,10,4,1,2,0,1,0,602,5,7,1,0,0,8,3,0,4,4,10,0,0,0,55,2,1,66.7,Italy
